"CubeId";"rendopar"
"PublishingDate";"2025-09-01 14:30"

"Date";"d0";"Value"
"1988-01-04";"b0";"4.386"
"1988-01-04";"b1";"-4.137"
"1988-01-04";"b2";"-0.001"
"1988-01-04";"b3";"-1.629"
"1988-01-04";"t1";"0.182"
"1988-01-04";"t2";"2.549"
"1988-01-05";"b0";
"1988-01-05";"b1";
"1988-01-05";"b2";
"1988-01-05";"b3";
"1988-01-05";"t1";
"1988-01-05";"t2";
"1988-01-06";"b0";
"1988-01-06";"b1";
"1988-01-06";"b2";
"1988-01-06";"b3";
"1988-01-06";"t1";
"1988-01-06";"t2";
"1988-01-07";"b0";
"1988-01-07";"b1";
"1988-01-07";"b2";
"1988-01-07";"b3";
"1988-01-07";"t1";
"1988-01-07";"t2";
"1988-01-08";"b0";
"1988-01-08";"b1";
"1988-01-08";"b2";
"1988-01-08";"b3";
"1988-01-08";"t1";
"1988-01-08";"t2";
"1988-01-11";"b0";"4.413"
"1988-01-11";"b1";"-4.039"
"1988-01-11";"b2";"0"
"1988-01-11";"b3";"-1.595"
"1988-01-11";"t1";"0.202"
"1988-01-11";"t2";"2.875"
"1988-01-12";"b0";
"1988-01-12";"b1";
"1988-01-12";"b2";
"1988-01-12";"b3";
"1988-01-12";"t1";
"1988-01-12";"t2";
"1988-01-13";"b0";
"1988-01-13";"b1";
"1988-01-13";"b2";
"1988-01-13";"b3";
"1988-01-13";"t1";
"1988-01-13";"t2";
"1988-01-14";"b0";
"1988-01-14";"b1";
"1988-01-14";"b2";
"1988-01-14";"b3";
"1988-01-14";"t1";
"1988-01-14";"t2";
"1988-01-15";"b0";
"1988-01-15";"b1";
"1988-01-15";"b2";
"1988-01-15";"b3";
"1988-01-15";"t1";
"1988-01-15";"t2";
"1988-01-18";"b0";"4.53"
"1988-01-18";"b1";"-4.031"
"1988-01-18";"b2";"-0.147"
"1988-01-18";"b3";"-2.025"
"1988-01-18";"t1";"0.212"
"1988-01-18";"t2";"2.81"
"1988-01-19";"b0";
"1988-01-19";"b1";
"1988-01-19";"b2";
"1988-01-19";"b3";
"1988-01-19";"t1";
"1988-01-19";"t2";
"1988-01-20";"b0";
"1988-01-20";"b1";
"1988-01-20";"b2";
"1988-01-20";"b3";
"1988-01-20";"t1";
"1988-01-20";"t2";
"1988-01-21";"b0";
"1988-01-21";"b1";
"1988-01-21";"b2";
"1988-01-21";"b3";
"1988-01-21";"t1";
"1988-01-21";"t2";
"1988-01-22";"b0";
"1988-01-22";"b1";
"1988-01-22";"b2";
"1988-01-22";"b3";
"1988-01-22";"t1";
"1988-01-22";"t2";
"1988-01-25";"b0";"4.391"
"1988-01-25";"b1";"-4.266"
"1988-01-25";"b2";"0.612"
"1988-01-25";"b3";"5.053"
"1988-01-25";"t1";"1.56"
"1988-01-25";"t2";"0.363"
"1988-01-26";"b0";
"1988-01-26";"b1";
"1988-01-26";"b2";
"1988-01-26";"b3";
"1988-01-26";"t1";
"1988-01-26";"t2";
"1988-01-27";"b0";
"1988-01-27";"b1";
"1988-01-27";"b2";
"1988-01-27";"b3";
"1988-01-27";"t1";
"1988-01-27";"t2";
"1988-01-28";"b0";
"1988-01-28";"b1";
"1988-01-28";"b2";
"1988-01-28";"b3";
"1988-01-28";"t1";
"1988-01-28";"t2";
"1988-01-29";"b0";"4.462"
"1988-01-29";"b1";"-3.901"
"1988-01-29";"b2";"-0.591"
"1988-01-29";"b3";"4.617"
"1988-01-29";"t1";"1.522"
"1988-01-29";"t2";"0.499"
"1988-02-01";"b0";"4.511"
"1988-02-01";"b1";"-3.331"
"1988-02-01";"b2";"-1.644"
"1988-02-01";"b3";"3.736"
"1988-02-01";"t1";"1.347"
"1988-02-01";"t2";"0.508"
"1988-02-02";"b0";
"1988-02-02";"b1";
"1988-02-02";"b2";
"1988-02-02";"b3";
"1988-02-02";"t1";
"1988-02-02";"t2";
"1988-02-03";"b0";
"1988-02-03";"b1";
"1988-02-03";"b2";
"1988-02-03";"b3";
"1988-02-03";"t1";
"1988-02-03";"t2";
"1988-02-04";"b0";
"1988-02-04";"b1";
"1988-02-04";"b2";
"1988-02-04";"b3";
"1988-02-04";"t1";
"1988-02-04";"t2";
"1988-02-05";"b0";
"1988-02-05";"b1";
"1988-02-05";"b2";
"1988-02-05";"b3";
"1988-02-05";"t1";
"1988-02-05";"t2";
"1988-02-08";"b0";"4.553"
"1988-02-08";"b1";"-3.868"
"1988-02-08";"b2";"-15.431"
"1988-02-08";"b3";"18.193"
"1988-02-08";"t1";"1.318"
"1988-02-08";"t2";"1.09"
"1988-02-09";"b0";
"1988-02-09";"b1";
"1988-02-09";"b2";
"1988-02-09";"b3";
"1988-02-09";"t1";
"1988-02-09";"t2";
"1988-02-10";"b0";
"1988-02-10";"b1";
"1988-02-10";"b2";
"1988-02-10";"b3";
"1988-02-10";"t1";
"1988-02-10";"t2";
"1988-02-11";"b0";
"1988-02-11";"b1";
"1988-02-11";"b2";
"1988-02-11";"b3";
"1988-02-11";"t1";
"1988-02-11";"t2";
"1988-02-12";"b0";
"1988-02-12";"b1";
"1988-02-12";"b2";
"1988-02-12";"b3";
"1988-02-12";"t1";
"1988-02-12";"t2";
"1988-02-15";"b0";"4.457"
"1988-02-15";"b1";"-3.71"
"1988-02-15";"b2";"-6.447"
"1988-02-15";"b3";"7.398"
"1988-02-15";"t1";"0.683"
"1988-02-15";"t2";"0.388"
"1988-02-16";"b0";
"1988-02-16";"b1";
"1988-02-16";"b2";
"1988-02-16";"b3";
"1988-02-16";"t1";
"1988-02-16";"t2";
"1988-02-17";"b0";
"1988-02-17";"b1";
"1988-02-17";"b2";
"1988-02-17";"b3";
"1988-02-17";"t1";
"1988-02-17";"t2";
"1988-02-18";"b0";
"1988-02-18";"b1";
"1988-02-18";"b2";
"1988-02-18";"b3";
"1988-02-18";"t1";
"1988-02-18";"t2";
"1988-02-19";"b0";
"1988-02-19";"b1";
"1988-02-19";"b2";
"1988-02-19";"b3";
"1988-02-19";"t1";
"1988-02-19";"t2";
"1988-02-22";"b0";"4.57"
"1988-02-22";"b1";"-3.575"
"1988-02-22";"b2";"-6.412"
"1988-02-22";"b3";"9.89"
"1988-02-22";"t1";"1.616"
"1988-02-22";"t2";"1.019"
"1988-02-23";"b0";
"1988-02-23";"b1";
"1988-02-23";"b2";
"1988-02-23";"b3";
"1988-02-23";"t1";
"1988-02-23";"t2";
"1988-02-24";"b0";
"1988-02-24";"b1";
"1988-02-24";"b2";
"1988-02-24";"b3";
"1988-02-24";"t1";
"1988-02-24";"t2";
"1988-02-25";"b0";
"1988-02-25";"b1";
"1988-02-25";"b2";
"1988-02-25";"b3";
"1988-02-25";"t1";
"1988-02-25";"t2";
"1988-02-26";"b0";
"1988-02-26";"b1";
"1988-02-26";"b2";
"1988-02-26";"b3";
"1988-02-26";"t1";
"1988-02-26";"t2";
"1988-02-29";"b0";"4.465"
"1988-02-29";"b1";"-3.904"
"1988-02-29";"b2";"-0.021"
"1988-02-29";"b3";"3.544"
"1988-02-29";"t1";"1.466"
"1988-02-29";"t2";"0.357"
"1988-03-01";"b0";
"1988-03-01";"b1";
"1988-03-01";"b2";
"1988-03-01";"b3";
"1988-03-01";"t1";
"1988-03-01";"t2";
"1988-03-02";"b0";
"1988-03-02";"b1";
"1988-03-02";"b2";
"1988-03-02";"b3";
"1988-03-02";"t1";
"1988-03-02";"t2";
"1988-03-03";"b0";
"1988-03-03";"b1";
"1988-03-03";"b2";
"1988-03-03";"b3";
"1988-03-03";"t1";
"1988-03-03";"t2";
"1988-03-04";"b0";
"1988-03-04";"b1";
"1988-03-04";"b2";
"1988-03-04";"b3";
"1988-03-04";"t1";
"1988-03-04";"t2";
"1988-03-07";"b0";"4.364"
"1988-03-07";"b1";"-3.741"
"1988-03-07";"b2";"-1.507"
"1988-03-07";"b3";"3.612"
"1988-03-07";"t1";"0.983"
"1988-03-07";"t2";"0.427"
"1988-03-08";"b0";
"1988-03-08";"b1";
"1988-03-08";"b2";
"1988-03-08";"b3";
"1988-03-08";"t1";
"1988-03-08";"t2";
"1988-03-09";"b0";
"1988-03-09";"b1";
"1988-03-09";"b2";
"1988-03-09";"b3";
"1988-03-09";"t1";
"1988-03-09";"t2";
"1988-03-10";"b0";
"1988-03-10";"b1";
"1988-03-10";"b2";
"1988-03-10";"b3";
"1988-03-10";"t1";
"1988-03-10";"t2";
"1988-03-11";"b0";
"1988-03-11";"b1";
"1988-03-11";"b2";
"1988-03-11";"b3";
"1988-03-11";"t1";
"1988-03-11";"t2";
"1988-03-14";"b0";"4.36"
"1988-03-14";"b1";"-3.303"
"1988-03-14";"b2";"-2.994"
"1988-03-14";"b3";"3.46"
"1988-03-14";"t1";"0.838"
"1988-03-14";"t2";"0.499"
"1988-03-15";"b0";
"1988-03-15";"b1";
"1988-03-15";"b2";
"1988-03-15";"b3";
"1988-03-15";"t1";
"1988-03-15";"t2";
"1988-03-16";"b0";
"1988-03-16";"b1";
"1988-03-16";"b2";
"1988-03-16";"b3";
"1988-03-16";"t1";
"1988-03-16";"t2";
"1988-03-17";"b0";
"1988-03-17";"b1";
"1988-03-17";"b2";
"1988-03-17";"b3";
"1988-03-17";"t1";
"1988-03-17";"t2";
"1988-03-18";"b0";
"1988-03-18";"b1";
"1988-03-18";"b2";
"1988-03-18";"b3";
"1988-03-18";"t1";
"1988-03-18";"t2";
"1988-03-21";"b0";"4.43"
